timestamp per minute,location: Descending,IPv4,IPv6
10:21,Location,11430,11457
10:22,Location,11588,11743
10:23,Location,12265,12270
10:24,Location,12434,12233
10:25,Location,11524,11205
10:27,Location,11756,11386
10:28,Location,11936,11484
10:29,Location,11265,11034
10:30,Location,11387,11423
10:31,Location,11571,12871
10:32,Location,11946,11798
10:33,Location,12046,11899
10:34,Location,11946,11625
10:35,Location,12699,12698
10:36,Location,12077,12051
10:37,Location,11938,11637
10:38,Location,11715,11656
10:39,Location,11606,11227
10:41,Location,11282,11270
10:42,Location,11480,11177
10:43,Location,11317,10859
10:44,Location,11223,10735
10:45,Location,11702,11286
10:46,Location,11032,10756
10:47,Location,11151,11151
10:48,Location,11364,11201
10:49,Location,10541,10377
10:50,Location,12043,11547
10:51,Location,11024,10852
10:52,Location,10486,10197
10:53,Location,10007,10045
10:54,Location,9906,9860
10:56,Location,11353,10974
10:57,Location,11004,10789
10:58,Location,10733,10503
10:59,Location,11031,11264
11:00,Location,10821,11255
11:01,Location,11954,12696
11:02,Location,11410,11432
11:03,Location,11416,11277
11:04,Location,11288,11099
11:05,Location,11756,11691
11:06,Location,11833,11688
11:07,Location,12236,12271
11:08,Location,11670,11497
11:09,Location,11330,11442
11:11,Location,11598,11770
11:12,Location,11496,11125
11:13,Location,11210,10945
11:14,Location,11082,10962
11:15,Location,10898,10861
11:16,Location,10994,10757
11:17,Location,10710,10983
11:18,Location,10389,10536
11:19,Location,10448,10174
11:20,Location,12696,12666
