timestamp per minute,dns: Descending,Number of Queries
10:47,dns01,7660
10:47,dns02,7394
10:47,dns03,7248
10:48,dns01,7711
10:48,dns02,7522
10:48,dns03,7332
10:49,dns01,7285
10:49,dns02,6862
10:49,dns03,6771
10:50,dns01,8243
10:50,dns02,7677
10:50,dns03,7670
10:51,dns01,7552
10:51,dns02,7182
10:51,dns03,7142
10:52,dns01,7113
10:52,dns02,6817
10:52,dns03,6753
10:53,dns01,6798
10:53,dns03,6674
10:53,dns02,6580
10:54,dns01,6637
10:54,dns02,6633
10:54,dns03,6496
10:56,dns01,7608
10:56,dns02,7472
10:56,dns03,7247
10:57,dns01,7289
10:57,dns02,7259
10:57,dns03,7245
10:58,dns01,7297
10:58,dns02,7014
10:58,dns03,6925
10:59,dns01,7669
10:59,dns02,7449
10:59,dns03,7177
11:00,dns01,7506
11:00,dns03,7408
11:00,dns02,7162
11:01,dns01,8540
11:01,dns02,8082
11:01,dns03,8028
11:02,dns01,7752
11:02,dns02,7563
11:02,dns03,7527
11:03,dns01,7672
11:03,dns02,7671
11:03,dns03,7350
11:04,dns02,7489
11:04,dns01,7478
11:04,dns03,7420
11:05,dns01,8035
11:05,dns03,7815
11:05,dns02,7597
11:06,dns01,8167
11:06,dns03,7715
11:06,dns02,7639
11:07,dns01,8301
11:07,dns03,8217
11:07,dns02,7989
11:08,dns02,8926
11:08,dns03,8786
11:08,dns01,5455
11:09,dns02,8102
11:09,dns03,8101
11:09,dns01,6569
11:11,dns01,7940
11:11,dns02,7730
11:11,dns03,7698
11:12,dns01,7840
11:12,dns03,7554
11:12,dns02,7227
11:13,dns01,7579
11:13,dns03,7351
11:13,dns02,7225
11:14,dns02,7375
11:14,dns03,7344
11:14,dns01,7325
11:15,dns01,7373
11:15,dns02,7256
11:15,dns03,7130
11:16,dns01,7451
11:16,dns03,7159
11:16,dns02,7141
11:17,dns01,7331
11:17,dns02,7218
11:17,dns03,7144
11:18,dns01,7139
11:18,dns02,6896
11:18,dns03,6890
11:19,dns01,7012
11:19,dns02,6829
11:19,dns03,6781
11:20,dns01,8518
11:20,dns02,8518
11:20,dns03,8326
11:22,dns01,7459
11:22,dns02,7221
11:22,dns03,7151
11:23,dns01,7344
11:23,dns03,7318
11:23,dns02,7303
11:24,dns01,7169
11:24,dns02,7038
11:24,dns03,6996
11:25,dns02,7460
11:25,dns01,7306
11:25,dns03,7248
11:26,dns01,7419
11:26,dns03,7293
11:26,dns02,7227
11:27,dns02,7295
11:27,dns03,7214
11:28,dns02,9433
11:28,dns03,8715
11:29,dns02,11592
11:29,dns03,11274
11:30,dns03,11389
11:30,dns02,11339
11:31,dns02,11958
11:31,dns03,11621
11:32,dns02,12045
11:32,dns03,11750
11:33,dns02,11375
11:33,dns03,10984
11:35,dns02,10703
11:35,dns03,10293
11:36,dns02,10814
11:36,dns03,10616
11:37,dns02,11212
11:37,dns03,10786
11:38,dns02,11268
11:38,dns03,10559
11:39,dns02,10456
11:39,dns03,10228
11:40,dns02,10864
11:40,dns03,10425
11:41,dns02,10850
11:41,dns03,10608
11:42,dns02,10805
11:42,dns03,10705
11:44,dns03,10479
11:44,dns02,10409
11:45,dns02,11021
11:45,dns03,10317
11:46,dns02,10893
11:46,dns03,10849
