timestamp per minute,Location,Number of Queries
10:21,Location,22887
10:22,Location,23331
10:23,Location,24535
10:24,Location,24667
10:25,Location,22729
10:27,Location,23142
10:28,Location,23420
10:29,Location,22299
10:30,Location,22810
10:31,Location,24442
10:32,Location,23744
10:33,Location,23945
10:34,Location,23571
10:35,Location,25397
10:36,Location,24128
10:37,Location,23575
10:38,Location,23371
10:39,Location,22833
10:41,Location,22552
10:42,Location,22657
10:43,Location,22176
10:44,Location,21958
10:45,Location,22988
10:46,Location,21788
10:47,Location,22302
10:48,Location,22565
10:49,Location,20918
10:50,Location,23590
10:51,Location,21876
10:52,Location,20683
10:53,Location,20052
10:54,Location,19766
10:56,Location,22327
10:57,Location,21793
10:58,Location,21236
10:59,Location,22295
11:00,Location,22076
11:01,Location,24650
11:02,Location,22842
11:03,Location,22693
11:04,Location,22387
11:05,Location,23447
11:06,Location,23521
11:07,Location,24507
11:08,Location,23167
11:09,Location,22772
11:11,Location,23368
11:12,Location,22621
11:13,Location,22155
11:14,Location,22044
11:15,Location,21759
11:16,Location,21751
11:17,Location,21693
11:18,Location,20925
11:19,Location,20622
11:20,Location,25362
